ISO 3166-2コード,所在都道府県,住宅等市区町村数（公営、応急仮設、民間賃貸等）,親族・知人宅等,病院等,所在判明市区町村数,注釈,年月日
JP-01,北海道,2127,528,2657,87,NA,2014-04-10
JP-02,青森県,276,357,643,22,NA,2014-04-10
JP-03,岩手県,33947,353,34305,29,※1,2014-04-10
JP-04,宮城県,86139,1085,87229,35,※1,2014-04-10
JP-05,秋田県,620,449,1069,20,NA,2014-04-10
JP-06,山形県,5073,559,5715,31,NA,2014-04-10
JP-07,福島県,83190,3219,86409,46,※2 ※1,2014-04-10
JP-08,茨城県,4037,681,4761,42,NA,2014-04-10
JP-09,栃木県,2268,629,3005,25,NA,2014-04-10
JP-10,群馬県,1129,254,1511,26,NA,2014-04-10
JP-11,埼玉県,2754,0,2754,54,NA,2014-04-10
JP-12,千葉県,559,3379,3939,45,NA,2014-04-10
JP-13,東京都,6136,1789,7957,55,NA,2014-04-10
JP-14,神奈川県,2340,0,2340,24,※1,2014-04-10
JP-15,新潟県,4251,191,4502,28,NA,2014-04-10
JP-16,富山県,218,63,284,10,NA,2014-04-10
JP-17,石川県,314,56,374,11,NA,2014-04-10
JP-18,福井県,210,45,255,13,NA,2014-04-10
JP-19,山梨県,636,85,722,22,NA,2014-04-10
JP-20,長野県,987,160,1147,42,NA,2014-04-10
JP-21,岐阜県,204,110,314,24,NA,2014-04-10
JP-22,静岡県,743,280,1028,30,NA,2014-04-10
JP-23,愛知県,1025,165,1190,43,NA,2014-04-10
JP-24,三重県,394,95,489,15,NA,2014-04-10
JP-25,滋賀県,100,198,298,14,NA,2014-04-10
JP-26,京都府,597,329,926,16,NA,2014-04-10
JP-27,大阪府,734,185,919,30,NA,2014-04-10
JP-28,兵庫県,643,277,920,26,NA,2014-04-10
JP-29,奈良県,75,89,164,16,NA,2014-04-10
JP-30,和歌山県,59,35,94,12,NA,2014-04-10
JP-31,鳥取県,122,52,174,11,NA,2014-04-10
JP-32,島根県,74,23,100,11,NA,2014-04-10
JP-33,岡山県,737,344,1081,19,NA,2014-04-10
JP-34,広島県,270,194,465,15,NA,2014-04-10
JP-35,山口県,102,44,146,12,NA,2014-04-10
JP-36,徳島県,40,31,71,12,NA,2014-04-10
JP-37,香川県,84,13,97,7,NA,2014-04-10
JP-38,愛媛県,44,139,185,11,NA,2014-04-10
JP-39,高知県,57,49,106,13,NA,2014-04-10
JP-40,福岡県,562,138,700,37,NA,2014-04-10
JP-41,佐賀県,161,24,185,9,NA,2014-04-10
JP-42,長崎県,100,36,136,10,NA,2014-04-10
JP-43,熊本県,295,95,390,19,NA,2014-04-10
JP-44,大分県,197,40,238,15,NA,2014-04-10
JP-45,宮崎県,170,68,238,11,NA,2014-04-10
JP-46,鹿児島県,144,73,218,24,NA,2014-04-10
JP-47,沖縄県,886,51,942,30,NA,2014-04-10
