ISO 3166-2コード,所在都道府県,住宅等市区町村数（公営、応急仮設、民間賃貸等）,親族・知人宅等,病院等,所在判明市区町村数,注釈,年月日
JP-01,北海道,2202,515,2,89,NA,2014-02-13
JP-02,青森県,354,417,14,23,NA,2014-02-13
JP-03,岩手県,34490,352,5,29,※1,2014-02-13
JP-04,宮城県,88781,1096,5,35,※1,2014-02-13
JP-05,秋田県,635,453,0,20,NA,2014-02-13
JP-06,山形県,5418,567,82,32,NA,2014-02-13
JP-07,福島県,85589,NA,NA,47,※1,2014-02-13
JP-08,茨城県,4241,636,42,42,NA,2014-02-13
JP-09,栃木県,2310,611,108,25,NA,2014-02-13
JP-10,群馬県,1175,233,128,26,NA,2014-02-13
JP-11,埼玉県,2925,0,0,56,NA,2014-02-13
JP-12,千葉県,565,3396,1,45,NA,2014-02-13
JP-13,東京都,6026,1970,34,56,NA,2014-02-13
JP-14,神奈川県,2362,0,0,24,※1,2014-02-13
JP-15,新潟県,4492,204,61,28,NA,2014-02-13
JP-16,富山県,218,63,3,10,NA,2014-02-13
JP-17,石川県,329,66,4,11,NA,2014-02-13
JP-18,福井県,223,47,0,14,NA,2014-02-13
JP-19,山梨県,615,133,0,21,NA,2014-02-13
JP-20,長野県,1006,162,0,42,NA,2014-02-13
JP-21,岐阜県,202,110,0,25,NA,2014-02-13
JP-22,静岡県,780,299,5,30,NA,2014-02-13
JP-23,愛知県,1031,176,0,44,NA,2014-02-13
JP-24,三重県,395,95,0,15,NA,2014-02-13
JP-25,滋賀県,101,203,0,14,NA,2014-02-13
JP-26,京都府,603,321,0,16,NA,2014-02-13
JP-27,大阪府,770,185,0,30,NA,2014-02-13
JP-28,兵庫県,647,275,0,26,NA,2014-02-13
JP-29,奈良県,77,91,0,18,NA,2014-02-13
JP-30,和歌山県,64,37,0,12,NA,2014-02-13
JP-31,鳥取県,131,51,0,11,NA,2014-02-13
JP-32,島根県,90,28,2,13,NA,2014-02-13
JP-33,岡山県,721,325,0,19,NA,2014-02-13
JP-34,広島県,274,192,1,15,NA,2014-02-13
JP-35,山口県,104,44,0,12,NA,2014-02-13
JP-36,徳島県,42,31,0,12,NA,2014-02-13
JP-37,香川県,81,13,0,7,NA,2014-02-13
JP-38,愛媛県,43,139,2,11,NA,2014-02-13
JP-39,高知県,57,49,0,13,NA,2014-02-13
JP-40,福岡県,564,137,0,37,NA,2014-02-13
JP-41,佐賀県,185,24,0,9,NA,2014-02-13
JP-42,長崎県,91,52,0,10,NA,2014-02-13
JP-43,熊本県,289,107,0,20,NA,2014-02-13
JP-44,大分県,209,44,1,15,NA,2014-02-13
JP-45,宮崎県,184,72,0,11,NA,2014-02-13
JP-46,鹿児島県,156,77,1,25,NA,2014-02-13
JP-47,沖縄県,917,51,5,30,NA,2014-02-13
