ISO 3166-2コード,所在都道府県,避難所（公民館、学校等）,旅館・ホテル,その他（親族・知人宅等）,住宅等（公営、仮設、民間、病院含む）,所在判明市区町村数,注釈,年月日
JP-01,北海道,0,0,518,2210,89,NA,2013-12-12
JP-02,青森県,0,0,425,373,23,NA,2013-12-12
JP-03,岩手県,0,0,350,35575,29,※1,2013-12-12
JP-04,宮城県,0,0,1083,91207,35,※1,2013-12-12
JP-05,秋田県,0,0,465,648,20,NA,2013-12-12
JP-06,山形県,0,0,572,5784,32,NA,2013-12-12
JP-07,福島県,0,0,NA,87712,47,※1,2013-12-12
JP-08,茨城県,0,0,609,4394,42,NA,2013-12-12
JP-09,栃木県,0,0,586,2456,25,NA,2013-12-12
JP-10,群馬県,0,0,239,1338,26,NA,2013-12-12
JP-11,埼玉県,11,0,0,3043,56,NA,2013-12-12
JP-12,千葉県,0,0,3412,564,45,NA,2013-12-12
JP-13,東京都,0,0,1959,6089,56,NA,2013-12-12
JP-14,神奈川県,0,0,0,2425,24,※1,2013-12-12
JP-15,新潟県,0,0,247,4616,28,NA,2013-12-12
JP-16,富山県,0,0,63,224,10,NA,2013-12-12
JP-17,石川県,0,0,64,342,11,NA,2013-12-12
JP-18,福井県,0,0,47,223,14,NA,2013-12-12
JP-19,山梨県,0,0,147,648,21,NA,2013-12-12
JP-20,長野県,0,0,147,1036,42,NA,2013-12-12
JP-21,岐阜県,0,0,110,200,25,NA,2013-12-12
JP-22,静岡県,0,0,296,792,31,NA,2013-12-12
JP-23,愛知県,0,0,179,1029,44,NA,2013-12-12
JP-24,三重県,0,0,93,395,15,NA,2013-12-12
JP-25,滋賀県,0,0,210,105,14,NA,2013-12-12
JP-26,京都府,0,0,321,637,16,NA,2013-12-12
JP-27,大阪府,0,0,185,814,30,NA,2013-12-12
JP-28,兵庫県,0,0,267,674,26,NA,2013-12-12
JP-29,奈良県,0,0,91,77,18,NA,2013-12-12
JP-30,和歌山県,0,0,37,64,12,NA,2013-12-12
JP-31,鳥取県,0,0,50,135,12,NA,2013-12-12
JP-32,島根県,0,0,24,105,13,NA,2013-12-12
JP-33,岡山県,0,0,312,715,19,NA,2013-12-12
JP-34,広島県,0,0,199,295,15,NA,2013-12-12
JP-35,山口県,0,0,44,104,12,NA,2013-12-12
JP-36,徳島県,0,0,31,42,12,NA,2013-12-12
JP-37,香川県,0,0,13,85,7,NA,2013-12-12
JP-38,愛媛県,0,0,139,46,11,NA,2013-12-12
JP-39,高知県,0,0,63,61,15,NA,2013-12-12
JP-40,福岡県,0,0,137,581,37,NA,2013-12-12
JP-41,佐賀県,0,0,24,189,9,NA,2013-12-12
JP-42,長崎県,0,0,53,91,10,NA,2013-12-12
JP-43,熊本県,0,0,107,291,20,NA,2013-12-12
JP-44,大分県,0,0,44,210,15,NA,2013-12-12
JP-45,宮崎県,0,0,73,187,11,NA,2013-12-12
JP-46,鹿児島県,0,0,74,157,26,NA,2013-12-12
JP-47,沖縄県,0,0,52,928,30,NA,2013-12-12
